candidate,status,matched_access_name
瓶ヶ森登山口駐車場,covered,瓶ヶ森登山口駐車場
瓶ヶ森駐車場,covered,瓶ヶ森登山口
由布岳正面登山口,covered,由布岳正面登山口
由布岳正面登山口駐車場,covered,由布岳正面登山口駐車場
男池登山口,covered,男池登山口
白神岳登山口駐車場,covered,白神岳登山口駐車場
石鎚ロープウェイ前,covered,石鎚ロープウェイ前
石鎚ロープウェイ山頂成就駅,covered,石鎚ロープウェイ山頂成就駅
祝子川 大崩山登山口,covered,祝子川 大崩山登山口
神原登山口,covered,神原
神坂峠登山口,covered,神坂峠
福定親水公園 氷ノ山登山口,covered,福定親水公園 氷ノ山登山口
福定親水公園登山口,covered,福定親水公園
笹ヶ峰登山口,covered,笹ヶ峰登山口
筑波山神社入口,covered,筑波山神社入口
美濃戸,covered,美濃戸
美濃戸口,covered,美濃戸口
菅沼登山口,covered,菅沼
葛城山ロープウェイ山上駅,covered,葛城山ロープウェイ山上駅
蓼科山七合目登山口,covered,蓼科山七合目登山口
蔵王ロープウェイ地蔵山頂駅,covered,蔵王ロープウェイ地蔵山頂駅
行者還トンネル西口,covered,行者還トンネル西口
西の原登山口,covered,西の原
見ノ越 剣山登山口,covered,見ノ越 剣山登山口
観音平,covered,観音平登山口
豊前坊・高住神社登山口,covered,豊前坊・高住神社登山口
車山肩,covered,車山肩駐車場
酸ヶ湯登山口,covered,酸ヶ湯
鉾立登山口（象潟口）,covered,鉾立
銀山平・皇海山登山者駐車場,covered,銀山平・皇海山登山者駐車場
長者原,covered,長者原登山口
雨飾高原キャンプ場登山口,covered,雨飾高原キャンプ場
須川高原温泉,covered,須川高原温泉
須走口五合目,covered,須走口五合目
馬場島（早月尾根登山口）,covered,馬場島
馬返し登山口,covered,馬返し
高千穂河原,covered,高千穂河原
高千穂河原駐車場・高千穂峰登山口,covered,高千穂河原駐車場・高千穂峰登山口
高瀬ダム,covered,高瀬ダム
鳥倉登山口,covered,鳥倉登山口
鳩待峠,covered,鳩待峠
鳩待峠（尾瀬側起点）,covered,鳩待峠
鴨沢登山口,covered,鴨沢登山口
鷹ノ巣・平ヶ岳登山口,covered,鷹ノ巣・平ヶ岳登山口
黒木登山口,covered,黒木
黒檜山登山口,covered,黒檜山登山口
7合目登山口,missing,
あわすのスキー場・鍬崎山登山口,missing,
おのこ駐車場・駒ヶ岳登山口,missing,
しがらくび駐車場,missing,
しらびそ峠・奥茶臼山登山口,missing,
みずがき山自然公園,missing,
イドンナップ山荘駐車場（新冠陽希コース）,missing,
キロロリゾート・赤井川コース入口,missing,
シュナイダーコース登山口（音更川二十一ノ沢出合）,missing,
ダナ平林道登山口,missing,
トムラウシ温泉登山口（東大雪荘）,missing,
ドロノ木平登山口,missing,
ニセイカウシュッペ山登山口（古川林道・西尾根）,missing,
ネズモチ平登山口駐車場,missing,
ブナオ峠 大門山登山口,missing,
ブナオ峠（大笠山ルート）,missing,
ブナ帯登山口,missing,
ムジナ平登山口,missing,
モンデウス飛騨位山,missing,
一の鳥居苑地・飯縄山登山者駐車場,missing,
一本杉登山口,missing,
万年橋 滑床渓谷 三本杭登山口,missing,
三ノ瀬（民宿みはらし）,missing,
三城いこいの広場,missing,
三方岩駐車場,missing,
上蒜山登山口駐車場（上蒜山スキー場）,missing,
下岳登山口,missing,
下津池 笹ヶ峰登山口,missing,
中の湯登山口（黒沢口）,missing,
中宮温泉ビジターセンター（笈ヶ岳ルート起点）,missing,
中山キャンプ場 多良岳,missing,
中沼登山口,missing,
中登山道口 御在所岳,missing,
中道登山口,missing,
乙女渓谷（小秀山登山口）,missing,
二口登山口,missing,
二王子神社登山口,missing,
五色温泉インフォメーションセンター,missing,
人形堂・中根平登山口,missing,
仁田峠第一展望所駐車場・普賢岳登山口,missing,
仲仙寺登山口,missing,
伊吹山ドライブウェイ山頂駐車場,missing,
会津高原たかつえスキー場・七ヶ岳登山口,missing,
保久礼登山口,missing,
八丁原登山口,missing,
八方ヶ原・大間々台登山口,missing,
八海山・屏風道二合目登山口,missing,
八総鉱山跡・荒海山登山駐車場,missing,
公時神社（金時神社）登山口,missing,
内山峠登山口,missing,
冠山峠,missing,
冷水・馬の背登山口（夕張岳ヒュッテ）,missing,
勝原コース登山口,missing,
北の原・姫逃池登山口,missing,
医王の里登山者用駐車場,missing,
十字峡登山センター,missing,
十里木高原登山口,missing,
千走登山口,missing,
古寺案内センター（古寺コース）,missing,
吉部（坊ガツル）登山口駐車場,missing,
吹上温泉登山口,missing,
吾妻山キャンプ場駐車場,missing,
国見岳新登山口（五勇谷橋ルート）,missing,
夕森渓谷駐車場,missing,
大峯大橋・清浄大橋登山口,missing,
大平宿（林道規制時起点）,missing,
大平登山口,missing,
大橋林道口・黒姫山登山口,missing,
大涌谷登山口,missing,
大滝キャンプ場・船形山登山口,missing,
大箆柄岳 垂桜コース駐車場・登山口,missing,
大網登山口,missing,
大股登山口,missing,
大股登山口 伯母子岳,missing,
天城高原ハイカー専用駐車場,missing,
天塩岳ヒュッテ登山口,missing,
奥二股登山口駐車場,missing,
奥胎内ヒュッテ（足ノ松尾根ルート起点）,missing,
奥越高原青少年自然の家,missing,
妙義神社入口・登山者駐車場,missing,
姫路公園登山口,missing,
孫太尾根登山口,missing,
室谷登山口,missing,
富士見高原登山口,missing,
小沢平登山口,missing,
尾ノ内渓谷登山口,missing,
尾鈴山第1駐車場（尾鈴山登山口アクセス起点）,missing,
屋敷口,missing,
山のふるさと村登山口,missing,
山ノ鼻（至仏山東面登山道入口・登り専用）,missing,
山之口登山口 川上岳,missing,
山本小屋ふる里館・町営駐車場,missing,
山犬段・高塚山登山口,missing,
山王峠・太郎山登山口,missing,
山部自然公園太陽の里 芦別岳登山口,missing,
岳登山口・岳駐車場,missing,
嶽温泉・嶽コース登山口,missing,
川上林道ゲート（夕森渓谷）,missing,
幌加温泉コース登山口,missing,
広河原登山口・峰越林道ゲート,missing,
御所平 登山者用臨時駐車場,missing,
御神坂登山口,missing,
御鍋神社登山口,missing,
徳和・乾徳山登山口,missing,
戸中山林道ゲート,missing,
戸沢出合,missing,
扉温泉,missing,
折場登山口,missing,
摺古木自然園入口,missing,
斑尾高原スキー場,missing,
斑尾高原ビジターセンター（山の家）,missing,
新御坂トンネル御坂口駐車場（御坂黒岳ルート）,missing,
新穂高ロープウェイ 西穂高口駅,missing,
新道登山口,missing,
旗坂キャンプ場駐車場（升沢コース）,missing,
日輪寺・八溝山登山口,missing,
旭又登山口,missing,
曽爾高原 倶留尊山登山口,missing,
曽爾高原登山口,missing,
月見ヶ丘登山口駐車場,missing,
月見ヶ丘登山口駐車場 道後山,missing,
有屋登山口,missing,
有馬温泉 六甲山登山口,missing,
朝日鉱泉登山口,missing,
札内川ヒュッテ駐車場,missing,
村営せせらぎ公園駐車場（猿ヶ馬場山残雪期ルート起点）,missing,
栃谷登山口 金剛堂山,missing,
栗生登山口,missing,
桂湖森林公園駐車場（大笠山ルート起点）,missing,
桧峠 大日ヶ岳登山口,missing,
椎原峠登山口,missing,
楢原・樽原登山口,missing,
榛名公園ビジターセンター登山口,missing,
権兵衛峠登山口,missing,
樽原登山口,missing,
武平峠登山口,missing,
池ノ茶屋登山口,missing,
沓形登山口,missing,
沢入登山口,missing,
河合谷高原 扇ノ山登山口,missing,
泉ヶ岳大駐車場,missing,
泡滝ダム・大鳥登山口,missing,
浅間隠山登山口（二度上峠付近）,missing,
浜平登山口,missing,
深山園地・塩那道路ゲート,missing,
深田記念公園・茅ヶ岳登山口,missing,
清水倉登山口,missing,
清浄大橋 大峯山登山口,missing,
清滝 愛宕山登山口,missing,
清滝・愛宕山表参道登山口,missing,
渋の湯,missing,
渋峠,missing,
湯ノ台口登山口,missing,
湯之平展望所（一般立入可能な最高地点・山頂入山不可）,missing,
湯檜曽公園・白毛門登山口側,missing,
滝ノ上温泉・乳頭山登山口,missing,
滝口・雄阿寒岳登山口,missing,
滝尾神社登山口,missing,
滝沢登山口,missing,
瀬場登山口 東赤石山,missing,
火男火売神社登山口,missing,
火男火売神社登山口駐車場,missing,
焼山林道第2ゲート（焼山ルート起点）,missing,
焼走り登山口,missing,
片貝登山口（東又第五発電所登山口）,missing,
猪苗代登山口（猪苗代スキー場）,missing,
甘露水口・薬師岳登山口駐車場,missing,
生川・一の鳥居,missing,
田の原登山口,missing,
田代・大無間山登山口,missing,
男池駐車場・男池登山口,missing,
畳平バスターミナル,missing,
白倉・大嶽神社里宮登山口,missing,
白山中居神社（野伏ヶ岳残雪期ルート起点）,missing,
白布峠登山口,missing,
白木峰8合目駐車場,missing,
白根火山・湯釜側起点,missing,
白雲台交流センター,missing,
白駒池入口,missing,
百沢コース登山口,missing,
百畳峠（百畳平）駐車場・山伏登山口,missing,
真狩登山口・真狩キャンプ場,missing,
祝瓶山荘駐車場・桑住平ルート,missing,
神威山荘・神威岳登山口,missing,
神威山荘（ペテガリ岳アプローチ起点）,missing,
竜門岳登山口 吉野,missing,
竜門岳登山口（バイオトイレ前）,missing,
笠岳峠・笠ヶ岳登山口,missing,
笠新道登山口,missing,
笹ヶ峰 南尾根登山口,missing,
篠山登山口 愛媛高知,missing,
粟ヶ岳中央登山口（県民休養地）,missing,
経ヶ岳登山口展望台駐車場,missing,
羅臼温泉登山口,missing,
美瑛富士登山口,missing,
羽衣・七面山表参道駐車場,missing,
老平・笊ヶ岳登山口,missing,
聖平登山口,missing,
脊振山山頂駐車場,missing,
芦屋川 高座の滝,missing,
菅平牧場登山口,missing,
蓬莱駅 登山口,missing,
蓮華温泉,missing,
蘭登山口,missing,
蛇淵の滝 那岐山登山口,missing,
蟹場温泉,missing,
西尾平駐車場,missing,
西桂口,missing,
見返台公園（沓形コース）,missing,
護摩壇山森林公園ワイルドライフ,missing,
赤井川登山口・6合目駐車場,missing,
赤倉沢登山口,missing,
赤坂峠登山口,missing,
越沢口,missing,
道坂トンネル都留側駐車場・御正体山登山口,missing,
那須ロープウェイ・峠の茶屋側,missing,
野反湖・白砂山登山口,missing,
金山登山口（小谷側）,missing,
金時見晴パーキング,missing,
鉢伏山荘駐車場,missing,
鉢盛坂新道口,missing,
長者の森登山口,missing,
雲母坂登山口（修学院）,missing,
青崩峠入口・熊伏山登山口,missing,
馬坂峠,missing,
高塚高原キャンプ場駐車場,missing,
高峰高原・車坂峠,missing,
高座の滝・ロックガーデン入口,missing,
高見峠,missing,
高鷲スノーパーク,missing,
鷲ヶ岳立石キャンプ場（林道ルート起点）,missing,
麓・毛無山登山口,missing,
黒木第2駐車場・黒木登山口,missing,
黒湯温泉,missing,
