mountain,course,from,to,status,note
諏訪山,楢原・樽原登山口ルート,諏訪山（上野村）,楢原・樽原登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
諏訪山,浜平登山口ルート,浜平登山口,諏訪山（上野村）,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
諏訪山,浜平登山口ルート,諏訪山（上野村）,浜平登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
朝日岳（群馬）,湯檜曽公園・白毛門登山口側ルート,朝日岳（群馬）,湯檜曽公園・白毛門登山口側,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
浅間山,高峰高原・車坂峠ルート,浅間山,高峰高原・車坂峠,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
斑尾山,斑尾高原ビジターセンター（山の家）ルート,斑尾山,斑尾高原ビジターセンター（山の家）,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
斑尾山,斑尾高原スキー場ルート,斑尾高原スキー場,斑尾山,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
斑尾山,斑尾高原スキー場ルート,斑尾山,斑尾高原スキー場,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
焼山,焼山林道第2ゲート（焼山ルート起点）ルート,焼山林道第2ゲート（焼山ルート起点）,新潟焼山,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
焼山,焼山林道第2ゲート（焼山ルート起点）ルート,新潟焼山,焼山林道第2ゲート（焼山ルート起点）,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
焼山,金山登山口（小谷側）ルート,金山登山口（小谷側）,新潟焼山,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
焼山,金山登山口（小谷側）ルート,新潟焼山,金山登山口（小谷側）,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
雨飾山,大網ルート,大網登山口,雨飾山,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
雨飾山,大網ルート,雨飾山,大網登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
青海黒姫山,清水倉登山口ルート,青海黒姫山,清水倉登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
毛勝山,片貝登山口（東又第五発電所登山口）ルート,片貝登山口（東又第五発電所登山口）,毛勝山,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
毛勝山,片貝登山口（東又第五発電所登山口）ルート,毛勝山,片貝登山口（東又第五発電所登山口）,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
餓鬼岳,中房登山口ルート,中房登山口,餓鬼岳,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
餓鬼岳,中房登山口ルート,餓鬼岳,中房登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
有明山,中房登山口ルート,有明山,中房登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
鉢盛山,鉢盛坂新道口ルート,鉢盛山,鉢盛坂新道口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
南駒ヶ岳,伊奈川ダム上登山口ルート,南駒ヶ岳,伊奈川ダム上登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
越百山,伊奈川ダム上登山口ルート,越百山,伊奈川ダム上登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
南木曽岳,蘭登山口ルート,南木曽岳,蘭登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
大岳山,白倉・大嶽神社里宮登山口ルート,大岳山,白倉・大嶽神社里宮登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
三頭山,山のふるさと村登山口ルート,三頭山,山のふるさと村登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
大山（神奈川）,大山ケーブル・阿夫利神社下社ルート,大山ケーブル口・市営第二駐車場,大山（神奈川）,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
大山（神奈川）,大山ケーブル・阿夫利神社下社ルート,大山（神奈川）,大山ケーブル口・市営第二駐車場,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
箱根山,大涌谷登山口ルート,大涌谷登山口,箱根山,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
箱根山,大涌谷登山口ルート,箱根山,大涌谷登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
三ッ峠山,西桂口ルート,三ッ峠山,西桂口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
黒岳,新御坂トンネル御坂口駐車場（御坂黒岳ルート）ルート,黒岳（御坂黒岳）,新御坂トンネル御坂口駐車場（御坂黒岳ルート）,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
鋸岳,北沢峠ルート,北沢峠,鋸岳,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
鋸岳,北沢峠ルート,鋸岳,北沢峠,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
アサヨ峰,北沢峠ルート,アサヨ峰,北沢峠,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
聖岳,椹島・聖平ルート,聖岳,椹島,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
茶臼岳,沼平ゲートルート,茶臼岳,沼平ゲート,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
大無間山,田代・大無間山登山口ルート,田代・大無間山登山口,大無間山,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
大無間山,田代・大無間山登山口ルート,大無間山,田代・大無間山登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
黒法師岳,戸中山林道ゲートルート,戸中山林道ゲート,黒法師岳,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
黒法師岳,戸中山林道ゲートルート,黒法師岳,戸中山林道ゲート,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
高塚山,山犬段・高塚山登山口ルート,高塚山,山犬段・高塚山登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
大笠山,桂湖森林公園駐車場（大笠山ルート起点）ルート,大笠山,桂湖森林公園駐車場（大笠山ルート起点）,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
大笠山,ブナオ峠（大笠山ルート）ルート,ブナオ峠（大笠山ルート）,大笠山,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
大笠山,ブナオ峠（大笠山ルート）ルート,大笠山,ブナオ峠（大笠山ルート）,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
経ヶ岳（福井）,展望台駐車場ルート,経ヶ岳登山口展望台駐車場,経ヶ岳（福井）,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
経ヶ岳（福井）,展望台駐車場ルート,経ヶ岳（福井）,経ヶ岳登山口展望台駐車場,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
大日ヶ岳,高鷲スノーパークルート,高鷲スノーパーク,大日ヶ岳,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
大日ヶ岳,高鷲スノーパークルート,大日ヶ岳,高鷲スノーパーク,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
東赤石山,瀬場登山口 東赤石山ルート,東赤石山,瀬場登山口 東赤石山,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
脊振山,椎原峠登山口ルート,脊振山,椎原峠登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
久住山,長者原ルート,長者原,久住山,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
久住山,長者原ルート,久住山,長者原,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
湧蓋山,八丁原登山口ルート,涌蓋山,八丁原登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
国見岳,国見岳新登山口（五勇谷橋ルート）ルート,国見岳,国見岳新登山口（五勇谷橋ルート）,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
尾鈴山,尾鈴山第1駐車場（尾鈴山登山口アクセス起点）ルート,尾鈴山,尾鈴山第1駐車場（尾鈴山登山口アクセス起点）,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
桜島（御岳）,湯之平展望所（一般立入可能な最高地点・山頂入山不可）ルート,湯之平展望所（一般立入可能な最高地点・山頂入山不可）,桜島（御岳・北岳）,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
桜島（御岳）,湯之平展望所（一般立入可能な最高地点・山頂入山不可）ルート,桜島（御岳・北岳）,湯之平展望所（一般立入可能な最高地点・山頂入山不可）,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
高隈山,大箆柄岳 垂桜コース駐車場・登山口ルート,高隈山（大箆柄岳）,大箆柄岳 垂桜コース駐車場・登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
