mountain,course,from,to,minutes,source
"燧ヶ岳","小沢平登山口ルート","燧ヶ岳（柴安嵓）","小沢平登山口","330","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大滝根山","高塚高原キャンプ場駐車場ルート","大滝根山","高塚高原キャンプ場駐車場","60","推定CT（固定座標・標高差＋確認済みCT回帰）"
"杁差岳","奥胎内ヒュッテ（足ノ松尾根ルート起点）ルート","杁差岳","奥胎内ヒュッテ（足ノ松尾根ルート起点）","330","推定CT（固定座標・標高差＋確認済みCT回帰）"
"八海山","八海山・屏風道二合目登山口ルート","八海山（入道岳）","八海山・屏風道二合目登山口","180","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鳥甲山","ムジナ平ルート","鳥甲山","ムジナ平登山口","170","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鳥甲山","屋敷口ルート","鳥甲山","屋敷口","170","推定CT（固定座標・標高差＋確認済みCT回帰）"
"三本槍岳","那須ロープウェイ・峠の茶屋側ルート","三本槍岳","那須ロープウェイ・峠の茶屋側","170","推定CT（固定座標・標高差＋確認済みCT回帰）"
"男鹿岳","深山園地・塩那道路ゲートルート","深山園地・塩那道路ゲート","男鹿岳","290","推定CT（固定座標・標高差＋確認済みCT回帰）"
"男鹿岳","深山園地・塩那道路ゲートルート","男鹿岳","深山園地・塩那道路ゲート","340","推定CT（固定座標・標高差＋確認済みCT回帰）"
"景鶴山","鳩待峠（尾瀬側起点）ルート","鳩待峠（尾瀬側起点）","景鶴山","280","推定CT（固定座標・標高差＋確認済みCT回帰）"
"景鶴山","鳩待峠（尾瀬側起点）ルート","景鶴山","鳩待峠（尾瀬側起点）","400","推定CT（固定座標・標高差＋確認済みCT回帰）"
"釈迦ヶ岳（栃木）","八方ヶ原・大間々台登山口ルート","高原山・釈迦ヶ岳","八方ヶ原・大間々台登山口","190","推定CT（固定座標・標高差＋確認済みCT回帰）"
"女峰山","滝尾神社登山口ルート","女峰山","滝尾神社登山口","380","推定CT（固定座標・標高差＋確認済みCT回帰）"
"皇海山","銀山平・皇海山登山者駐車場ルート","皇海山","銀山平・皇海山登山者駐車場","380","推定CT（固定座標・標高差＋確認済みCT回帰）"
"草津白根山","白根火山・湯釜側起点ルート","白根火山・湯釜側起点","草津白根山（白根山）","60","推定CT（固定座標・標高差＋確認済みCT回帰）"
"草津白根山","白根火山・湯釜側起点ルート","草津白根山（白根山）","白根火山・湯釜側起点","50","推定CT（固定座標・標高差＋確認済みCT回帰）"
"妙義山（相馬岳）","妙義神社入口・登山者駐車場ルート","妙義山（相馬岳）","妙義神社入口・登山者駐車場","70","推定CT（固定座標・標高差＋確認済みCT回帰）"
"諏訪山","楢原・樽原登山口ルート","諏訪山（上野村）","楢原・樽原登山口","200","推定CT（固定座標・標高差＋確認済みCT回帰）"
"諏訪山","浜平登山口ルート","浜平登山口","諏訪山（上野村）","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
"諏訪山","浜平登山口ルート","諏訪山（上野村）","浜平登山口","170","推定CT（固定座標・標高差＋確認済みCT回帰）"
"朝日岳（群馬）","湯檜曽公園・白毛門登山口側ルート","湯檜曽公園・白毛門登山口側","朝日岳（群馬）","400","推定CT（固定座標・標高差＋確認済みCT回帰）"
"朝日岳（群馬）","湯檜曽公園・白毛門登山口側ルート","朝日岳（群馬）","湯檜曽公園・白毛門登山口側","370","推定CT（固定座標・標高差＋確認済みCT回帰）"
"浅間山","高峰高原・車坂峠ルート","浅間山","高峰高原・車坂峠","250","推定CT（固定座標・標高差＋確認済みCT回帰）"
"戸隠山","戸隠キャンプ場・戸隠牧場ルート","戸隠キャンプ場・戸隠牧場","戸隠山","200","推定CT（固定座標・標高差＋確認済みCT回帰）"
"戸隠山","戸隠キャンプ場・戸隠牧場ルート","戸隠山","戸隠キャンプ場・戸隠牧場","160","推定CT（固定座標・標高差＋確認済みCT回帰）"
"斑尾山","斑尾高原ビジターセンター（山の家）ルート","斑尾山","斑尾高原ビジターセンター（山の家）","140","推定CT（固定座標・標高差＋確認済みCT回帰）"
"斑尾山","斑尾高原スキー場ルート","斑尾高原スキー場","斑尾山","130","推定CT（固定座標・標高差＋確認済みCT回帰）"
"斑尾山","斑尾高原スキー場ルート","斑尾山","斑尾高原スキー場","110","推定CT（固定座標・標高差＋確認済みCT回帰）"
"焼山","焼山林道第2ゲート（焼山ルート起点）ルート","焼山林道第2ゲート（焼山ルート起点）","新潟焼山","380","推定CT（固定座標・標高差＋確認済みCT回帰）"
"焼山","焼山林道第2ゲート（焼山ルート起点）ルート","新潟焼山","焼山林道第2ゲート（焼山ルート起点）","300","推定CT（固定座標・標高差＋確認済みCT回帰）"
"焼山","金山登山口（小谷側）ルート","金山登山口（小谷側）","新潟焼山","340","推定CT（固定座標・標高差＋確認済みCT回帰）"
"焼山","金山登山口（小谷側）ルート","新潟焼山","金山登山口（小谷側）","320","推定CT（固定座標・標高差＋確認済みCT回帰）"
"雨飾山","大網ルート","大網登山口","雨飾山","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
"雨飾山","大網ルート","雨飾山","大網登山口","130","推定CT（固定座標・標高差＋確認済みCT回帰）"
"青海黒姫山","清水倉登山口ルート","青海黒姫山","清水倉登山口","120","推定CT（固定座標・標高差＋確認済みCT回帰）"
"毛勝山","片貝登山口（東又第五発電所登山口）ルート","片貝登山口（東又第五発電所登山口）","毛勝山","370","推定CT（固定座標・標高差＋確認済みCT回帰）"
"毛勝山","片貝登山口（東又第五発電所登山口）ルート","毛勝山","片貝登山口（東又第五発電所登山口）","250","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鍬崎山","あわすのスキー場・鍬崎山登山口ルート","鍬崎山","あわすのスキー場・鍬崎山登山口","270","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鷲羽岳","折立登山口ルート","鷲羽岳","折立登山口","730","推定CT（固定座標・標高差＋確認済みCT回帰）"
"赤牛岳","折立登山口ルート","赤牛岳","折立登山口","590","推定CT（固定座標・標高差＋確認済みCT回帰）"
"笠ヶ岳（岐阜）","笠新道ルート","笠新道登山口","笠ヶ岳","320","推定CT（固定座標・標高差＋確認済みCT回帰）"
"笠ヶ岳（岐阜）","笠新道ルート","笠ヶ岳","笠新道登山口","190","推定CT（固定座標・標高差＋確認済みCT回帰）"
"餓鬼岳","中房登山口ルート","中房登山口","餓鬼岳","360","推定CT（固定座標・標高差＋確認済みCT回帰）"
"餓鬼岳","中房登山口ルート","餓鬼岳","中房登山口","340","推定CT（固定座標・標高差＋確認済みCT回帰）"
"有明山","中房登山口ルート","有明山","中房登山口","110","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大天井岳","中房登山口（燕岳・大天井岳 表銀座ルート）ルート","大天井岳","中房登山口（燕岳・大天井岳 表銀座ルート）","260","推定CT（固定座標・標高差＋確認済みCT回帰）"
"霞沢岳","上高地ルート","霞沢岳","上高地","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鉢盛山","鉢盛坂新道口ルート","鉢盛山","鉢盛坂新道口","80","推定CT（固定座標・標高差＋確認済みCT回帰）"
"南駒ヶ岳","伊奈川ダム上登山口ルート","南駒ヶ岳","伊奈川ダム上登山口","280","推定CT（固定座標・標高差＋確認済みCT回帰）"
"越百山","伊奈川ダム上登山口ルート","越百山","伊奈川ダム上登山口","260","推定CT（固定座標・標高差＋確認済みCT回帰）"
"安平路山","摺古木自然園入口ルート","摺古木自然園入口","安平路山","240","推定CT（固定座標・標高差＋確認済みCT回帰）"
"安平路山","摺古木自然園入口ルート","安平路山","摺古木自然園入口","280","推定CT（固定座標・標高差＋確認済みCT回帰）"
"安平路山","大平宿（林道規制時起点）ルート","大平宿（林道規制時起点）","安平路山","440","推定CT（固定座標・標高差＋確認済みCT回帰）"
"安平路山","大平宿（林道規制時起点）ルート","安平路山","大平宿（林道規制時起点）","490","推定CT（固定座標・標高差＋確認済みCT回帰）"
"南木曽岳","蘭登山口ルート","南木曽岳","蘭登山口","90","推定CT（固定座標・標高差＋確認済みCT回帰）"
"和名倉山（白石山）","三ノ瀬（民宿みはらし）ルート","三ノ瀬（民宿みはらし）","和名倉山（白石山）","330","推定CT（固定座標・標高差＋確認済みCT回帰）"
"和名倉山（白石山）","三ノ瀬（民宿みはらし）ルート","和名倉山（白石山）","三ノ瀬（民宿みはらし）","400","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大岳山","白倉・大嶽神社里宮登山口ルート","大岳山","白倉・大嶽神社里宮登山口","120","推定CT（固定座標・標高差＋確認済みCT回帰）"
"三頭山","山のふるさと村登山口ルート","三頭山","山のふるさと村登山口","160","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大山（神奈川）","大山ケーブル・阿夫利神社下社ルート","大山ケーブル口・市営第二駐車場","大山（神奈川）","200","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大山（神奈川）","大山ケーブル・阿夫利神社下社ルート","大山（神奈川）","大山ケーブル口・市営第二駐車場","120","推定CT（固定座標・標高差＋確認済みCT回帰）"
"箱根山","大涌谷登山口ルート","大涌谷登山口","箱根山","90","推定CT（固定座標・標高差＋確認済みCT回帰）"
"箱根山","大涌谷登山口ルート","箱根山","大涌谷登山口","50","推定CT（固定座標・標高差＋確認済みCT回帰）"
"三ッ峠山","西桂口ルート","三ッ峠山","西桂口","80","推定CT（固定座標・標高差＋確認済みCT回帰）"
"黒岳","新御坂トンネル御坂口駐車場（御坂黒岳ルート）ルート","黒岳（御坂黒岳）","新御坂トンネル御坂口駐車場（御坂黒岳ルート）","140","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鋸岳","北沢峠ルート","北沢峠","鋸岳","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鋸岳","北沢峠ルート","鋸岳","北沢峠","250","推定CT（固定座標・標高差＋確認済みCT回帰）"
"アサヨ峰","北沢峠ルート","アサヨ峰","北沢峠","140","推定CT（固定座標・標高差＋確認済みCT回帰）"
"聖岳","椹島ルート","聖岳","椹島","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
"上河内岳","沼平ゲートルート","上河内岳","沼平ゲート","460","推定CT（固定座標・標高差＋確認済みCT回帰）"
"茶臼岳","沼平ゲートルート","茶臼岳","沼平ゲート","380","推定CT（固定座標・標高差＋確認済みCT回帰）"
"光岳","沼平ゲートルート","光岳","沼平ゲート","510","推定CT（固定座標・標高差＋確認済みCT回帰）"
"池口岳","池口林道口・池口岳登山口ルート","池口岳","池口林道口・池口岳登山口","340","推定CT（固定座標・標高差＋確認済みCT回帰）"
"奥茶臼山","しらびそ峠・奥茶臼山登山口ルート","奥茶臼山","しらびそ峠・奥茶臼山登山口","330","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大無間山","田代・大無間山登山口ルート","田代・大無間山登山口","大無間山","420","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大無間山","田代・大無間山登山口ルート","大無間山","田代・大無間山登山口","340","推定CT（固定座標・標高差＋確認済みCT回帰）"
"黒法師岳","戸中山林道ゲートルート","戸中山林道ゲート","黒法師岳","370","推定CT（固定座標・標高差＋確認済みCT回帰）"
"黒法師岳","戸中山林道ゲートルート","黒法師岳","戸中山林道ゲート","310","推定CT（固定座標・標高差＋確認済みCT回帰）"
"高塚山","山犬段・高塚山登山口ルート","高塚山","山犬段・高塚山登山口","210","推定CT（固定座標・標高差＋確認済みCT回帰）"
"熊伏山","青崩峠入口・熊伏山登山口ルート","熊伏山","青崩峠入口・熊伏山登山口","100","推定CT（固定座標・標高差＋確認済みCT回帰）"
"白木峰","白木峰8合目駐車場ルート","白木峰","白木峰8合目駐車場","40","推定CT（固定座標・標高差＋確認済みCT回帰）"
"医王山","しがらくびルート","しがらくび駐車場","医王山（奥医王山）","90","推定CT（固定座標・標高差＋確認済みCT回帰）"
"医王山","しがらくびルート","医王山（奥医王山）","しがらくび駐車場","90","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大笠山","桂湖森林公園駐車場（大笠山ルート起点）ルート","大笠山","桂湖森林公園駐車場（大笠山ルート起点）","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大笠山","ブナオ峠（大笠山ルート）ルート","ブナオ峠（大笠山ルート）","大笠山","310","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大笠山","ブナオ峠（大笠山ルート）ルート","大笠山","ブナオ峠（大笠山ルート）","340","推定CT（固定座標・標高差＋確認済みCT回帰）"
"笈ヶ岳","中宮温泉ビジターセンター（笈ヶ岳ルート起点）ルート","中宮温泉ビジターセンター（笈ヶ岳ルート起点）","笈ヶ岳","310","推定CT（固定座標・標高差＋確認済みCT回帰）"
"笈ヶ岳","中宮温泉ビジターセンター（笈ヶ岳ルート起点）ルート","笈ヶ岳","中宮温泉ビジターセンター（笈ヶ岳ルート起点）","250","推定CT（固定座標・標高差＋確認済みCT回帰）"
"猿ヶ馬場山","村営せせらぎ公園駐車場（猿ヶ馬場山残雪期ルート起点）ルート","村営せせらぎ公園駐車場（猿ヶ馬場山残雪期ルート起点）","猿ヶ馬場山","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"猿ヶ馬場山","村営せせらぎ公園駐車場（猿ヶ馬場山残雪期ルート起点）ルート","猿ヶ馬場山","村営せせらぎ公園駐車場（猿ヶ馬場山残雪期ルート起点）","260","推定CT（固定座標・標高差＋確認済みCT回帰）"
"経ヶ岳（福井）","展望台駐車場ルート","経ヶ岳登山口展望台駐車場","経ヶ岳（福井）","200","推定CT（固定座標・標高差＋確認済みCT回帰）"
"経ヶ岳（福井）","展望台駐車場ルート","経ヶ岳（福井）","経ヶ岳登山口展望台駐車場","160","推定CT（固定座標・標高差＋確認済みCT回帰）"
"野伏ヶ岳","白山中居神社（野伏ヶ岳残雪期ルート起点）ルート","野伏ヶ岳","白山中居神社（野伏ヶ岳残雪期ルート起点）","210","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大日ヶ岳","高鷲スノーパークルート","高鷲スノーパーク","大日ヶ岳","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大日ヶ岳","高鷲スノーパークルート","大日ヶ岳","高鷲スノーパーク","190","推定CT（固定座標・標高差＋確認済みCT回帰）"
"倶留尊山","曽爾高原 倶留尊山登山口ルート","倶留尊山","曽爾高原 倶留尊山登山口","80","推定CT（固定座標・標高差＋確認済みCT回帰）"
"三峰山","みつえ青少年旅行村 三峰山登山口ルート","三峰山","みつえ青少年旅行村 三峰山登山口","140","推定CT（固定座標・標高差＋確認済みCT回帰）"
"高見山","たかすみ温泉ルート","たかすみ温泉 高見山登山口","高見山","190","推定CT（固定座標・標高差＋確認済みCT回帰）"
"高見山","たかすみ温泉ルート","高見山","たかすみ温泉 高見山登山口","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"護摩壇山","護摩壇山森林公園ワイルドライフルート","護摩壇山森林公園ワイルドライフ","護摩壇山","110","推定CT（固定座標・標高差＋確認済みCT回帰）"
"護摩壇山","護摩壇山森林公園ワイルドライフルート","護摩壇山","護摩壇山森林公園ワイルドライフ","100","推定CT（固定座標・標高差＋確認済みCT回帰）"
"蓬来山","蓬莱駅 登山口ルート","蓬来山","蓬莱駅 登山口","210","推定CT（固定座標・標高差＋確認済みCT回帰）"
"比叡山","坂本ケーブル延暦寺駅ルート","比叡山（大比叡）","坂本ケーブル延暦寺駅","40","推定CT（固定座標・標高差＋確認済みCT回帰）"
"六甲山","芦屋川 高座の滝ルート","六甲山","芦屋川 高座の滝","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
"三嶺","光石ルート","三嶺","光石登山口","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
"東赤石山","瀬場登山口 東赤石山ルート","東赤石山","瀬場登山口 東赤石山","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"三本杭","万年橋 滑床渓谷 三本杭登山口ルート","三本杭","万年橋 滑床渓谷 三本杭登山口","140","推定CT（固定座標・標高差＋確認済みCT回帰）"
"脊振山","椎原峠登山口ルート","脊振山","椎原峠登山口","140","推定CT（固定座標・標高差＋確認済みCT回帰）"
"久住山","長者原ルート","長者原","久住山","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"久住山","長者原ルート","久住山","長者原","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
"湧蓋山","八丁原登山口ルート","涌蓋山","八丁原登山口","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
"国見岳","国見岳新登山口（五勇谷橋ルート）ルート","国見岳","国見岳新登山口（五勇谷橋ルート）","140","推定CT（固定座標・標高差＋確認済みCT回帰）"
"市房山","市房山キャンプ場（市房山登山口アクセス起点）ルート","市房山","市房山キャンプ場（市房山登山口アクセス起点）","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"尾鈴山","尾鈴山第1駐車場（尾鈴山登山口アクセス起点）ルート","尾鈴山","尾鈴山第1駐車場（尾鈴山登山口アクセス起点）","210","推定CT（固定座標・標高差＋確認済みCT回帰）"
"桜島（御岳）","湯之平展望所（一般立入可能な最高地点・山頂入山不可）ルート","湯之平展望所（一般立入可能な最高地点・山頂入山不可）","桜島（御岳・北岳）","180","推定CT（固定座標・標高差＋確認済みCT回帰）"
"桜島（御岳）","湯之平展望所（一般立入可能な最高地点・山頂入山不可）ルート","桜島（御岳・北岳）","湯之平展望所（一般立入可能な最高地点・山頂入山不可）","130","推定CT（固定座標・標高差＋確認済みCT回帰）"
"高隈山","大箆柄岳 垂桜コース駐車場・登山口ルート","高隈山（大箆柄岳）","大箆柄岳 垂桜コース駐車場・登山口","130","推定CT（固定座標・標高差＋確認済みCT回帰）"
