mountain,course,from,to,ct,minutes,kind,source
燧ヶ岳,小沢平登山口ルート,燧ヶ岳（柴安嵓）,小沢平登山口,5:30,330,estimated,推定CT（固定座標・標高差＋確認済みCT回帰）
越後駒ヶ岳,枝折峠ルート,越後駒ヶ岳,枝折峠,5:30,330,direct,魚沼市観光協会公式・越後駒ヶ岳 枝折峠コース
飯豊山,大日杉登山口ルート,飯豊山,大日杉登山口,5:30,330,estimated,推定CT（固定座標・標高差＋確認済みCT回帰）
富士山,御殿場ルート,御殿場口新五合目,わらじ館,5:27,327,direct,YAMAP御殿場ルート・新五合目04:00→わらじ館09:27 5時間27分
霞沢岳,上高地・徳本峠ルート,徳本峠小屋,霞沢岳,5:23,323,direct,既存確認済み8時間32分から上高地→徳本峠小屋189分を差し引いた区間CT
聖岳,椹島・聖平ルート,椹島,聖平小屋,5:21,321,direct,既存確認済み椹島→聖岳500分から聖平小屋→聖岳179分を差し引いた区間CT
後方羊蹄山,京極登山口ルート,京極登山口,後方羊蹄山（羊蹄山）,5:20,320,direct,ヤマレコ・羊蹄山 京極コース 山行計画 p5541585（標準CT）
朝日岳（新潟・富山）,蓮華温泉ルート,朝日岳（新潟・富山）,蓮華温泉,5:20,320,direct,白馬村公式観光サイト・モデルコース（公式区間合算）
焼山,金山登山口（小谷側）ルート,新潟焼山,金山登山口（小谷側）,5:20,320,estimated,推定CT（固定座標・標高差＋確認済みCT回帰）
白馬岳,猿倉・大雪渓ルート,白馬尻小屋跡,白馬山荘,5:20,320,direct,白馬村公式観光サイト・モデルコース（公式区間合算）
白山,大白川・平瀬道ルート,大白川・平瀬道登山口,白山（御前峰）,5:18,318,direct,YAMAP標準モデル・平瀬道登山口-室堂センター-白山往復（登山口06:00→御前峰11:18、5時間18分）
七面山,羽衣・七面山表参道駐車場ルート,羽衣・七面山表参道駐車場,七面山,5:11,311,direct,YAMAP・七面山表参道モデルコース（羽衣→山頂 5時間11分）
暑寒別岳,暑寒荘・暑寒別岳ルート,暑寒荘・暑寒別岳登山口,暑寒別岳,5:11,311,direct,ヤマレコ・暑寒別岳 暑寒ルート山行計画（標準CT複数照合）
大笠山,ブナオ峠（大笠山ルート）ルート,ブナオ峠（大笠山ルート）,大笠山,5:10,310,estimated,推定CT（固定座標・標高差＋確認済みCT回帰）
笈ヶ岳,中宮温泉ビジターセンター（笈ヶ岳ルート起点）ルート,中宮温泉ビジターセンター（笈ヶ岳ルート起点）,笈ヶ岳,5:10,310,direct,ユーザー確定・V1.4.252表示推定CTを採用（V1.4.253）
黒法師岳,戸中山林道ゲートルート,黒法師岳,戸中山林道ゲート,5:10,310,estimated,推定CT（固定座標・標高差＋確認済みCT回帰）
丹沢山,大倉・塔ノ岳・丹沢山ルート,大倉登山口,塔ノ岳,5:09,309,direct,ヤマレコ・塔ノ岳 大倉尾根ルート山行計画（標準CT複数照合）
大船山,長者原ルート,長者原,大船山,5:09,309,direct,YAMAP標準モデル・長者原-大船山往復（長者原08:00→大船山13:09、5時間09分）
奥三界岳,川上林道ゲート（夕森渓谷）ルート,川上林道ゲート（夕森渓谷）,奥三界岳,5:07,307,direct,ヤマレコ・奥三界岳 川上林道ゲート山行計画（標準CT区間合算）
巻機山,桜坂ルート,桜坂登山口,巻機山,5:07,307,direct,ヤマレコ・巻機山 井戸尾根コース山行計画（標準CT複数照合）
鳥海山,鉾立登山口（象潟口）ルート,鉾立登山口（象潟口）,鳥海山（新山）,5:06,306,direct,ヤマレコ・鳥海山 鉾立コース山行計画（標準CT複数照合）
奥茶臼山,しらびそ峠・奥茶臼山登山口ルート,しらびそ峠・奥茶臼山登山口,奥茶臼山,5:05,305,direct,YAMAP・奥茶臼山（しらびそ峠）モデルコース（しらびそ峠駐車場 06:00→奥茶臼山 11:05、5時間05分）
鹿島槍ヶ岳,大谷原登山口ルート,大谷原登山口,高千穂平,5:05,305,direct,YAMAP標準モデル・大谷原側駐車場05:01→高千穂平10:06 5時間05分
岩手山,焼走りルート,焼走り登山口,岩手山,5:02,302,direct,YAMAP標準モデル・岩手山 焼走り登山口コース（登山口07:00→岩手山12:02、5時間02分）
ペテガリ岳,神威山荘（ペテガリ岳アプローチ起点）ルート,ペテガリ山荘,神威山荘（ペテガリ岳アプローチ起点）,5:00,300,direct,新ひだか町公式・ペテガリ山荘→神威山荘 約5時間
ペテガリ岳,神威山荘（ペテガリ岳アプローチ起点）ルート,ペテガリ岳,ペテガリ山荘,5:00,300,direct,新ひだか町公式・ペテガリ岳→ペテガリ山荘 約5時間
ペテガリ岳,神威山荘（ペテガリ岳アプローチ起点）ルート,神威山荘（ペテガリ岳アプローチ起点）,ペテガリ山荘,5:00,300,direct,新ひだか町公式・神威山荘→ペテガリ山荘 約5時間
三俣蓮華岳,新穂高温泉ルート,新穂高温泉,鏡平山荘,5:00,300,direct,双六小屋グループ・鏡平山荘
両神山,日向大谷口ルート,日向大谷口,両神山,5:00,300,direct,ヤマレコ・両神山 日向大谷ルート山行計画（標準CT複数照合）
恵那山,神坂峠ルート,神坂峠登山口,恵那山,5:00,300,direct,中津川市公式・恵那山 神坂峠ルート
焼山,焼山林道第2ゲート（焼山ルート起点）ルート,新潟焼山,焼山林道第2ゲート（焼山ルート起点）,5:00,300,estimated,推定CT（固定座標・標高差＋確認済みCT回帰）
白山,市ノ瀬ルート,白山室堂,市ノ瀬,5:00,300,direct,白山観光協会・白山禅定道 白山室堂→市ノ瀬 5時間00分
羅臼岳,岩尾別温泉・木下小屋登山口ルート,岩尾別温泉・木下小屋登山口,羅臼岳,5:00,300,direct,知床羅臼ビジターセンター・岩尾別コース 登り5時間
鳥甲山,屋敷口ルート,屋敷口,鳥甲山,5:00,300,direct,津南町観光協会公式・鳥甲山 屋敷ルート
