mountain,course,from,to,minutes,source
"飯豊山","大日杉登山口ルート","飯豊山","大日杉登山口","330","推定CT（固定座標・標高差＋確認済みCT回帰）"
"西吾妻山","白布峠登山口ルート","西吾妻山","白布峠登山口","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"安達太良山","奥岳・あだたら山ロープウェイルート","安達太良山","奥岳登山口・あだたら山ロープウェイ","170","推定CT（固定座標・標高差＋確認済みCT回帰）"
"磐梯山","猪苗代登山口（猪苗代スキー場）ルート","磐梯山","猪苗代登山口（猪苗代スキー場）","180","推定CT（固定座標・標高差＋確認済みCT回帰）"
"七ヶ岳","会津高原たかつえスキー場・七ヶ岳登山口ルート","七ヶ岳","会津高原たかつえスキー場・七ヶ岳登山口","210","推定CT（固定座標・標高差＋確認済みCT回帰）"
"荒海山","八総鉱山跡・荒海山登山駐車場ルート","荒海山（太郎岳）","八総鉱山跡・荒海山登山駐車場","160","推定CT（固定座標・標高差＋確認済みCT回帰）"
"会津朝日岳","赤倉沢登山口ルート","会津朝日岳","赤倉沢登山口","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
"燧ヶ岳","小沢平登山口ルート","小沢平登山口","燧ヶ岳（柴安嵓）","380","推定CT（固定座標・標高差＋確認済みCT回帰）"
"燧ヶ岳","小沢平登山口ルート","燧ヶ岳（柴安嵓）","小沢平登山口","330","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大滝根山","高塚高原キャンプ場駐車場ルート","大滝根山","高塚高原キャンプ場駐車場","60","推定CT（固定座標・標高差＋確認済みCT回帰）"
"杁差岳","奥胎内ヒュッテ（足ノ松尾根ルート起点）ルート","杁差岳","奥胎内ヒュッテ（足ノ松尾根ルート起点）","330","推定CT（固定座標・標高差＋確認済みCT回帰）"
"二王子岳","二王子神社ルート","二王子岳","二王子神社登山口","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
"粟ヶ岳","粟ヶ岳中央（県民休養地）ルート","粟ヶ岳","粟ヶ岳中央登山口（県民休養地）","240","推定CT（固定座標・標高差＋確認済みCT回帰）"
"守門岳","二口ルート","守門岳","二口登山口","210","推定CT（固定座標・標高差＋確認済みCT回帰）"
"守門岳","保久礼ルート","守門岳","保久礼登山口","200","推定CT（固定座標・標高差＋確認済みCT回帰）"
"浅草岳","ネズモチ平駐車場ルート","浅草岳","ネズモチ平登山口駐車場","120","推定CT（固定座標・標高差＋確認済みCT回帰）"
"八海山","八海山・屏風道二合目登山口ルート","八海山（入道岳）","八海山・屏風道二合目登山口","180","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鳥甲山","ムジナ平ルート","鳥甲山","ムジナ平登山口","170","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鳥甲山","屋敷口ルート","鳥甲山","屋敷口","170","推定CT（固定座標・標高差＋確認済みCT回帰）"
"三本槍岳","那須ロープウェイ・峠の茶屋側ルート","三本槍岳","那須ロープウェイ・峠の茶屋側","170","推定CT（固定座標・標高差＋確認済みCT回帰）"
"男鹿岳","深山園地・塩那道路ゲートルート","深山園地・塩那道路ゲート","男鹿岳","290","推定CT（固定座標・標高差＋確認済みCT回帰）"
"男鹿岳","深山園地・塩那道路ゲートルート","男鹿岳","深山園地・塩那道路ゲート","340","推定CT（固定座標・標高差＋確認済みCT回帰）"
"景鶴山","鳩待峠（尾瀬側起点）ルート","鳩待峠（尾瀬側起点）","景鶴山","280","推定CT（固定座標・標高差＋確認済みCT回帰）"
"景鶴山","鳩待峠（尾瀬側起点）ルート","景鶴山","鳩待峠（尾瀬側起点）","400","推定CT（固定座標・標高差＋確認済みCT回帰）"
"釈迦ヶ岳（栃木）","八方ヶ原・大間々台登山口ルート","高原山・釈迦ヶ岳","八方ヶ原・大間々台登山口","190","推定CT（固定座標・標高差＋確認済みCT回帰）"
"女峰山","滝尾神社登山口ルート","女峰山","滝尾神社登山口","380","推定CT（固定座標・標高差＋確認済みCT回帰）"
"奥白根山","菅沼登山口ルート","奥白根山（日光白根山）","菅沼登山口","130","推定CT（固定座標・標高差＋確認済みCT回帰）"
"皇海山","銀山平・皇海山登山者駐車場ルート","皇海山","銀山平・皇海山登山者駐車場","380","推定CT（固定座標・標高差＋確認済みCT回帰）"
"赤城山（黒檜山）","黒檜山ルート","赤城山（黒檜山）","黒檜山登山口","60","推定CT（固定座標・標高差＋確認済みCT回帰）"
"草津白根山","白根火山・湯釜側起点ルート","白根火山・湯釜側起点","草津白根山（白根山）","60","推定CT（固定座標・標高差＋確認済みCT回帰）"
"草津白根山","白根火山・湯釜側起点ルート","草津白根山（白根山）","白根火山・湯釜側起点","50","推定CT（固定座標・標高差＋確認済みCT回帰）"
"妙義山（相馬岳）","妙義神社入口・登山者駐車場ルート","妙義山（相馬岳）","妙義神社入口・登山者駐車場","70","推定CT（固定座標・標高差＋確認済みCT回帰）"
"諏訪山","楢原・樽原登山口ルート","諏訪山（上野村）","楢原・樽原登山口","200","推定CT（固定座標・標高差＋確認済みCT回帰）"
"諏訪山","浜平登山口ルート","浜平登山口","諏訪山（上野村）","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
"諏訪山","浜平登山口ルート","諏訪山（上野村）","浜平登山口","170","推定CT（固定座標・標高差＋確認済みCT回帰）"
"朝日岳（群馬）","湯檜曽公園・白毛門登山口側ルート","湯檜曽公園・白毛門登山口側","朝日岳（群馬）","400","推定CT（固定座標・標高差＋確認済みCT回帰）"
"朝日岳（群馬）","湯檜曽公園・白毛門登山口側ルート","朝日岳（群馬）","湯檜曽公園・白毛門登山口側","370","推定CT（固定座標・標高差＋確認済みCT回帰）"
"谷川岳","天神平ルート","谷川岳（オキノ耳）","天神平","130","推定CT（固定座標・標高差＋確認済みCT回帰）"
"仙ノ倉山","平標登山口・元橋駐車場ルート","仙ノ倉山","平標登山口・元橋駐車場","260","推定CT（固定座標・標高差＋確認済みCT回帰）"
"笠ヶ岳（長野）","笠岳峠・笠ヶ岳登山口ルート","笠ヶ岳（長野）","笠岳峠・笠ヶ岳登山口","20","推定CT（固定座標・標高差＋確認済みCT回帰）"
"四阿山","菅平牧場ルート","四阿山","菅平牧場登山口","190","推定CT（固定座標・標高差＋確認済みCT回帰）"
"浅間山","高峰高原・車坂峠ルート","浅間山","高峰高原・車坂峠","250","推定CT（固定座標・標高差＋確認済みCT回帰）"
"御座山","長者の森登山口ルート","御座山","長者の森登山口","210","推定CT（固定座標・標高差＋確認済みCT回帰）"
"美ヶ原","三城いこいの広場ルート","美ヶ原（王ヶ頭）","三城いこいの広場","100","推定CT（固定座標・標高差＋確認済みCT回帰）"
"戸隠山","戸隠神社奥社ルート","戸隠山","戸隠神社奥社登山口","50","推定CT（固定座標・標高差＋確認済みCT回帰）"
"黒姫山","大橋林道口・黒姫山登山口ルート","黒姫山","大橋林道口・黒姫山登山口","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"斑尾山","斑尾高原ビジターセンター（山の家）ルート","斑尾山","斑尾高原ビジターセンター（山の家）","140","推定CT（固定座標・標高差＋確認済みCT回帰）"
"斑尾山","斑尾高原スキー場ルート","斑尾高原スキー場","斑尾山","130","推定CT（固定座標・標高差＋確認済みCT回帰）"
"斑尾山","斑尾高原スキー場ルート","斑尾山","斑尾高原スキー場","110","推定CT（固定座標・標高差＋確認済みCT回帰）"
"焼山","焼山林道第2ゲート（焼山ルート起点）ルート","焼山林道第2ゲート（焼山ルート起点）","新潟焼山","380","推定CT（固定座標・標高差＋確認済みCT回帰）"
"焼山","焼山林道第2ゲート（焼山ルート起点）ルート","新潟焼山","焼山林道第2ゲート（焼山ルート起点）","300","推定CT（固定座標・標高差＋確認済みCT回帰）"
"焼山","金山登山口（小谷側）ルート","金山登山口（小谷側）","新潟焼山","340","推定CT（固定座標・標高差＋確認済みCT回帰）"
"焼山","金山登山口（小谷側）ルート","新潟焼山","金山登山口（小谷側）","320","推定CT（固定座標・標高差＋確認済みCT回帰）"
"青海黒姫山","清水倉登山口ルート","青海黒姫山","清水倉登山口","120","推定CT（固定座標・標高差＋確認済みCT回帰）"
"毛勝山","片貝登山口（東又第五発電所登山口）ルート","片貝登山口（東又第五発電所登山口）","毛勝山","370","推定CT（固定座標・標高差＋確認済みCT回帰）"
"毛勝山","片貝登山口（東又第五発電所登山口）ルート","毛勝山","片貝登山口（東又第五発電所登山口）","250","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鍬崎山","あわすのスキー場・鍬崎山登山口ルート","鍬崎山","あわすのスキー場・鍬崎山登山口","270","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鷲羽岳","折立登山口ルート","鷲羽岳","折立登山口","730","推定CT（固定座標・標高差＋確認済みCT回帰）"
"赤牛岳","折立登山口ルート","赤牛岳","折立登山口","590","推定CT（固定座標・標高差＋確認済みCT回帰）"
"笠ヶ岳（岐阜）","笠新道登山口ルート","笠ヶ岳（岐阜）","笠新道登山口","190","推定CT（固定座標・標高差＋確認済みCT回帰）"
"餓鬼岳","中房登山口ルート","中房登山口","餓鬼岳","360","推定CT（固定座標・標高差＋確認済みCT回帰）"
"餓鬼岳","中房登山口ルート","餓鬼岳","中房登山口","340","推定CT（固定座標・標高差＋確認済みCT回帰）"
"有明山","中房登山口ルート","有明山","中房登山口","110","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大天井岳","中房登山口（燕岳・大天井岳 表銀座ルート）ルート","大天井岳","中房登山口（燕岳・大天井岳 表銀座ルート）","260","推定CT（固定座標・標高差＋確認済みCT回帰）"
"焼岳","新中の湯登山口ルート","焼岳","新中の湯登山口","140","推定CT（固定座標・標高差＋確認済みCT回帰）"
"霞沢岳","上高地ルート","霞沢岳","上高地","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鉢盛山","鉢盛坂新道口ルート","鉢盛山","鉢盛坂新道口","80","推定CT（固定座標・標高差＋確認済みCT回帰）"
"南駒ヶ岳","伊奈川ダム上登山口ルート","南駒ヶ岳","伊奈川ダム上登山口","280","推定CT（固定座標・標高差＋確認済みCT回帰）"
"越百山","伊奈川ダム上登山口ルート","越百山","伊奈川ダム上登山口","260","推定CT（固定座標・標高差＋確認済みCT回帰）"
"安平路山","摺古木自然園入口ルート","摺古木自然園入口","安平路山","240","推定CT（固定座標・標高差＋確認済みCT回帰）"
"安平路山","摺古木自然園入口ルート","安平路山","摺古木自然園入口","280","推定CT（固定座標・標高差＋確認済みCT回帰）"
"安平路山","大平宿（林道規制時起点）ルート","大平宿（林道規制時起点）","安平路山","440","推定CT（固定座標・標高差＋確認済みCT回帰）"
"安平路山","大平宿（林道規制時起点）ルート","安平路山","大平宿（林道規制時起点）","490","推定CT（固定座標・標高差＋確認済みCT回帰）"
"南木曽岳","蘭登山口ルート","南木曽岳","蘭登山口","90","推定CT（固定座標・標高差＋確認済みCT回帰）"
"和名倉山（白石山）","三ノ瀬（民宿みはらし）ルート","三ノ瀬（民宿みはらし）","和名倉山（白石山）","330","推定CT（固定座標・標高差＋確認済みCT回帰）"
"和名倉山（白石山）","三ノ瀬（民宿みはらし）ルート","和名倉山（白石山）","三ノ瀬（民宿みはらし）","400","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大岳山","白倉・大嶽神社里宮登山口ルート","大岳山","白倉・大嶽神社里宮登山口","120","推定CT（固定座標・標高差＋確認済みCT回帰）"
"三頭山","山のふるさと村登山口ルート","三頭山","山のふるさと村登山口","160","推定CT（固定座標・標高差＋確認済みCT回帰）"
"箱根山","大涌谷登山口ルート","大涌谷登山口","箱根山","90","推定CT（固定座標・標高差＋確認済みCT回帰）"
"箱根山","大涌谷登山口ルート","箱根山","大涌谷登山口","50","推定CT（固定座標・標高差＋確認済みCT回帰）"
"毛無山","麓・毛無山登山口ルート","毛無山","麓・毛無山登山口","100","推定CT（固定座標・標高差＋確認済みCT回帰）"
"七面山","羽衣・七面山表参道駐車場ルート","七面山","羽衣・七面山表参道駐車場","170","推定CT（固定座標・標高差＋確認済みCT回帰）"
"櫛形山","池ノ茶屋登山口ルート","櫛形山","池ノ茶屋登山口","30","推定CT（固定座標・標高差＋確認済みCT回帰）"
"三ッ峠山","西桂口ルート","三ッ峠山","西桂口","80","推定CT（固定座標・標高差＋確認済みCT回帰）"
"黒岳","新御坂トンネル御坂口駐車場（御坂黒岳ルート）ルート","黒岳（御坂黒岳）","新御坂トンネル御坂口駐車場（御坂黒岳ルート）","140","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鋸岳","北沢峠ルート","北沢峠","鋸岳","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鋸岳","北沢峠ルート","鋸岳","北沢峠","250","推定CT（固定座標・標高差＋確認済みCT回帰）"
"アサヨ峰","北沢峠ルート","アサヨ峰","北沢峠","140","推定CT（固定座標・標高差＋確認済みCT回帰）"
"聖岳","椹島ルート","聖岳","椹島","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
"上河内岳","沼平ゲートルート","上河内岳","沼平ゲート","460","推定CT（固定座標・標高差＋確認済みCT回帰）"
"茶臼岳","沼平ゲートルート","茶臼岳","沼平ゲート","380","推定CT（固定座標・標高差＋確認済みCT回帰）"
"光岳","沼平ゲートルート","光岳","沼平ゲート","510","推定CT（固定座標・標高差＋確認済みCT回帰）"
"池口岳","池口林道口・池口岳登山口ルート","池口岳","池口林道口・池口岳登山口","340","推定CT（固定座標・標高差＋確認済みCT回帰）"
"奥茶臼山","しらびそ峠・奥茶臼山登山口ルート","奥茶臼山","しらびそ峠・奥茶臼山登山口","330","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大無間山","田代・大無間山登山口ルート","田代・大無間山登山口","大無間山","420","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大無間山","田代・大無間山登山口ルート","大無間山","田代・大無間山登山口","340","推定CT（固定座標・標高差＋確認済みCT回帰）"
"黒法師岳","戸中山林道ゲートルート","戸中山林道ゲート","黒法師岳","370","推定CT（固定座標・標高差＋確認済みCT回帰）"
"黒法師岳","戸中山林道ゲートルート","黒法師岳","戸中山林道ゲート","310","推定CT（固定座標・標高差＋確認済みCT回帰）"
"高塚山","山犬段・高塚山登山口ルート","高塚山","山犬段・高塚山登山口","210","推定CT（固定座標・標高差＋確認済みCT回帰）"
"熊伏山","青崩峠入口・熊伏山登山口ルート","熊伏山","青崩峠入口・熊伏山登山口","100","推定CT（固定座標・標高差＋確認済みCT回帰）"
"白木峰","白木峰8合目駐車場ルート","白木峰","白木峰8合目駐車場","40","推定CT（固定座標・標高差＋確認済みCT回帰）"
"医王山","医王の里登山者用駐車場ルート","医王山（奥医王山）","医王の里登山者用駐車場","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大笠山","桂湖森林公園駐車場（大笠山ルート起点）ルート","大笠山","桂湖森林公園駐車場（大笠山ルート起点）","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大笠山","ブナオ峠（大笠山ルート）ルート","ブナオ峠（大笠山ルート）","大笠山","310","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大笠山","ブナオ峠（大笠山ルート）ルート","大笠山","ブナオ峠（大笠山ルート）","340","推定CT（固定座標・標高差＋確認済みCT回帰）"
"笈ヶ岳","中宮温泉ビジターセンター（笈ヶ岳ルート起点）ルート","中宮温泉ビジターセンター（笈ヶ岳ルート起点）","笈ヶ岳","310","推定CT（固定座標・標高差＋確認済みCT回帰）"
"笈ヶ岳","中宮温泉ビジターセンター（笈ヶ岳ルート起点）ルート","笈ヶ岳","中宮温泉ビジターセンター（笈ヶ岳ルート起点）","250","推定CT（固定座標・標高差＋確認済みCT回帰）"
"猿ヶ馬場山","村営せせらぎ公園駐車場（猿ヶ馬場山残雪期ルート起点）ルート","村営せせらぎ公園駐車場（猿ヶ馬場山残雪期ルート起点）","猿ヶ馬場山","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"猿ヶ馬場山","村営せせらぎ公園駐車場（猿ヶ馬場山残雪期ルート起点）ルート","猿ヶ馬場山","村営せせらぎ公園駐車場（猿ヶ馬場山残雪期ルート起点）","260","推定CT（固定座標・標高差＋確認済みCT回帰）"
"野伏ヶ岳","白山中居神社（野伏ヶ岳残雪期ルート起点）ルート","野伏ヶ岳","白山中居神社（野伏ヶ岳残雪期ルート起点）","210","推定CT（固定座標・標高差＋確認済みCT回帰）"
"倶留尊山","曽爾高原 倶留尊山登山口ルート","倶留尊山","曽爾高原 倶留尊山登山口","80","推定CT（固定座標・標高差＋確認済みCT回帰）"
"三峰山","みつえ青少年旅行村 三峰山登山口ルート","三峰山","みつえ青少年旅行村 三峰山登山口","140","推定CT（固定座標・標高差＋確認済みCT回帰）"
"竜門岳","竜門岳登山口 吉野ルート","竜門岳","竜門岳登山口 吉野","120","推定CT（固定座標・標高差＋確認済みCT回帰）"
"伯母子岳","大股登山口 伯母子岳ルート","伯母子岳","大股登山口 伯母子岳","190","推定CT（固定座標・標高差＋確認済みCT回帰）"
"護摩壇山","護摩壇山森林公園ワイルドライフルート","護摩壇山森林公園ワイルドライフ","護摩壇山","110","推定CT（固定座標・標高差＋確認済みCT回帰）"
"護摩壇山","護摩壇山森林公園ワイルドライフルート","護摩壇山","護摩壇山森林公園ワイルドライフ","100","推定CT（固定座標・標高差＋確認済みCT回帰）"
"蓬来山","びわ湖バレイ山頂駅ルート","蓬来山","びわ湖バレイ山頂駅","50","推定CT（固定座標・標高差＋確認済みCT回帰）"
"蓬来山","蓬莱駅 登山口ルート","蓬来山","蓬莱駅 登山口","210","推定CT（固定座標・標高差＋確認済みCT回帰）"
"比叡山","坂本ケーブル延暦寺駅ルート","比叡山（大比叡）","坂本ケーブル延暦寺駅","40","推定CT（固定座標・標高差＋確認済みCT回帰）"
"比叡山","雲母坂登山口（修学院）ルート","比叡山（大比叡）","雲母坂登山口（修学院）","160","推定CT（固定座標・標高差＋確認済みCT回帰）"
"愛宕山","清滝 愛宕山登山口ルート","愛宕山","清滝 愛宕山登山口","160","推定CT（固定座標・標高差＋確認済みCT回帰）"
"六甲山","芦屋川 高座の滝ルート","六甲山","芦屋川 高座の滝","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
"六甲山","有馬温泉 六甲山登山口ルート","六甲山","有馬温泉 六甲山登山口","130","推定CT（固定座標・標高差＋確認済みCT回帰）"
"扇ノ山","河合谷高原 扇ノ山登山口ルート","扇ノ山","河合谷高原 扇ノ山登山口","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"扇ノ山","姫路公園登山口ルート","扇ノ山","姫路公園登山口","80","推定CT（固定座標・標高差＋確認済みCT回帰）"
"氷ノ山","わかさ氷ノ山登山口ルート","氷ノ山","わかさ氷ノ山登山口","90","推定CT（固定座標・標高差＋確認済みCT回帰）"
"那岐山","蛇淵の滝 那岐山登山口ルート","那岐山","蛇淵の滝 那岐山登山口","110","推定CT（固定座標・標高差＋確認済みCT回帰）"
"三瓶山","西の原登山口ルート","三瓶山（男三瓶山）","西の原登山口","110","推定CT（固定座標・標高差＋確認済みCT回帰）"
"剣山","見ノ越 剣山登山口ルート","剣山","見ノ越 剣山登山口","80","推定CT（固定座標・標高差＋確認済みCT回帰）"
"剣山","剣山観光登山リフト西島駅ルート","剣山","剣山観光登山リフト西島駅","40","推定CT（固定座標・標高差＋確認済みCT回帰）"
"三嶺","光石登山口ルート","三嶺","光石登山口","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
"東赤石山","瀬場登山口 東赤石山ルート","東赤石山","瀬場登山口 東赤石山","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"笹ヶ峰","下津池 笹ヶ峰登山口ルート","笹ヶ峰","下津池 笹ヶ峰登山口","110","推定CT（固定座標・標高差＋確認済みCT回帰）"
"三本杭","万年橋 滑床渓谷 三本杭登山口ルート","三本杭","万年橋 滑床渓谷 三本杭登山口","140","推定CT（固定座標・標高差＋確認済みCT回帰）"
"篠山","篠山登山口 愛媛高知ルート","篠山","篠山登山口 愛媛高知","30","推定CT（固定座標・標高差＋確認済みCT回帰）"
"脊振山","脊振山山頂駐車場ルート","脊振山","脊振山山頂駐車場","20","推定CT（固定座標・標高差＋確認済みCT回帰）"
"脊振山","椎原峠登山口ルート","脊振山","椎原峠登山口","140","推定CT（固定座標・標高差＋確認済みCT回帰）"
"雲仙岳（普賢岳）","仁田峠第一展望所駐車場・普賢岳登山口ルート","雲仙岳（普賢岳）","仁田峠第一展望所駐車場・普賢岳登山口","70","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鶴見岳","火男火売神社登山口駐車場ルート","鶴見岳","火男火売神社登山口駐車場","90","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鶴見岳","別府ロープウェイ 鶴見山上駅ルート","鶴見岳","別府ロープウェイ 鶴見山上駅","20","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大船山","男池駐車場・男池登山口ルート","大船山","男池駐車場・男池登山口","190","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大船山","吉部（坊ガツル）登山口駐車場ルート","大船山","吉部（坊ガツル）登山口駐車場","250","推定CT（固定座標・標高差＋確認済みCT回帰）"
"湧蓋山","八丁原登山口ルート","涌蓋山","八丁原登山口","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
"阿蘇山（高岳）","仙酔峡駐車場・仙酔峡登山口ルート","阿蘇山（高岳）","仙酔峡駐車場・仙酔峡登山口","90","推定CT（固定座標・標高差＋確認済みCT回帰）"
"国見岳","国見岳新登山口（五勇谷橋ルート）ルート","国見岳","国見岳新登山口（五勇谷橋ルート）","140","推定CT（固定座標・標高差＋確認済みCT回帰）"
"市房山","市房山キャンプ場（市房山登山口アクセス起点）ルート","市房山","市房山キャンプ場（市房山登山口アクセス起点）","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"尾鈴山","尾鈴山第1駐車場（尾鈴山登山口アクセス起点）ルート","尾鈴山","尾鈴山第1駐車場（尾鈴山登山口アクセス起点）","210","推定CT（固定座標・標高差＋確認済みCT回帰）"
"桜島（御岳）","湯之平展望所（一般立入可能な最高地点・山頂入山不可）ルート","湯之平展望所（一般立入可能な最高地点・山頂入山不可）","桜島（御岳・北岳）","180","推定CT（固定座標・標高差＋確認済みCT回帰）"
"桜島（御岳）","湯之平展望所（一般立入可能な最高地点・山頂入山不可）ルート","桜島（御岳・北岳）","湯之平展望所（一般立入可能な最高地点・山頂入山不可）","130","推定CT（固定座標・標高差＋確認済みCT回帰）"
"高隈山","大箆柄岳 垂桜コース駐車場・登山口ルート","高隈山（大箆柄岳）","大箆柄岳 垂桜コース駐車場・登山口","130","推定CT（固定座標・標高差＋確認済みCT回帰）"
