mountain,course,from,to,minutes,ct,kind,km,source
鍬崎山,あわすのスキー場・鍬崎山登山口ルート,あわすのスキー場・鍬崎山登山口,鍬崎山,405,6:45,direct,5.29,YAMAP標準モデル・あわすのスキー場駐車場→鍬崎山（6時間45分）。ヤマレコ標準計画とも同水準
佐武流山,ドロノ木平ルート,ドロノ木平登山口,佐武流山,404,6:44,direct,6.03,ヤマレコ・佐武流山 ドロノキ平ルート山行計画（標準CT確認）
羅臼岳,羅臼温泉登山口ルート,羅臼温泉登山口,羅臼岳,403,6:43,direct,5.50,ヤマレコ・羅臼岳 山行計画 p5230560（標準CT）
オプタテシケ山,望岳台ルート,望岳台,オプタテシケ山,400,6:40,estimated,8.58,推定CT（固定座標・標高差＋確認済みCT回帰）
トムラウシ山,トムラウシ温泉ルート,トムラウシ山,トムラウシ温泉登山口（東大雪荘）,400,6:40,estimated,7.73,推定CT（固定座標・標高差＋確認済みCT回帰）
和名倉山（白石山）,三ノ瀬（民宿みはらし）ルート,和名倉山（白石山）,三ノ瀬（民宿みはらし）,400,6:40,estimated,7.65,推定CT（固定座標・標高差＋確認済みCT回帰）
早池峰山,岳登山口ルート,岳登山口・岳駐車場,早池峰山,400,6:40,estimated,7.20,推定CT（固定座標・標高差＋確認済みCT回帰）
景鶴山,鳩待峠（尾瀬側起点）ルート,景鶴山,鳩待峠（尾瀬側起点）,400,6:40,estimated,7.62,推定CT（固定座標・標高差＋確認済みCT回帰）
朝日岳（群馬）,湯檜曽公園・白毛門登山口側ルート,湯檜曽公園・白毛門登山口側,朝日岳（群馬）,400,6:40,estimated,7.22,推定CT（固定座標・標高差＋確認済みCT回帰）
上河内岳,沼平・茶臼小屋ルート,沼平ゲート,茶臼小屋,398,6:38,direct,5.82,既存確認済み沼平ゲート→上河内岳518分から茶臼小屋→上河内岳120分を差し引いた区間CT
南駒ヶ岳,伊奈川ダム上登山口ルート,伊奈川ダム上登山口,越百山,397,6:37,direct,5.03,YAMAP標準モデル・伊奈川ダム駐車場→越百避難小屋→越百山（6時間37分）
幌尻岳,イドンナップ山荘駐車場（新冠陽希コース）ルート,新冠ポロシリ山荘,イドンナップ山荘駐車場（新冠陽希コース）,397,6:37,direct,8.38,YAMAP標準モデル・新冠ポロシリ山荘→イドンナップ山荘登山口 6時間37分
越百山,伊奈川ダム上登山口ルート,伊奈川ダム上登山口,越百山,397,6:37,direct,5.03,YAMAP標準モデル・伊奈川ダム駐車場→越百避難小屋→越百山（6時間37分）
ペテガリ岳,神威山荘（ペテガリ岳アプローチ起点）ルート,ペテガリ山荘,ペテガリ岳,390,6:30,direct,5.19,新ひだか町公式・ペテガリ山荘→ペテガリ岳 約6時間30分
平ヶ岳,鷹ノ巣・平ヶ岳ルート,鷹ノ巣・平ヶ岳登山口,平ヶ岳,390,6:30,direct,8.27,魚沼市観光協会公式・平ヶ岳 鷹ノ巣コース
池口岳,池口林道口・池口岳登山口ルート,池口林道口・池口岳登山口,池口岳,385,6:25,direct,6.52,YAMA HACK・池口岳登山口〜池口岳（登り区間合算）
女峰山,滝尾神社登山口ルート,女峰山,滝尾神社登山口,380,6:20,estimated,7.27,推定CT（固定座標・標高差＋確認済みCT回帰）
烏帽子岳,高瀬ダムルート,高瀬ダム,烏帽子岳,380,6:20,direct,3.64,山と高原地図掲載標準CT（高瀬ダム→烏帽子岳 上り6時間20分）
焼山,焼山林道第2ゲート（焼山ルート起点）ルート,焼山林道第2ゲート（焼山ルート起点）,新潟焼山,380,6:20,estimated,5.71,推定CT（固定座標・標高差＋確認済みCT回帰）
燧ヶ岳,小沢平登山口ルート,小沢平登山口,燧ヶ岳（柴安嵓）,380,6:20,estimated,6.39,推定CT（固定座標・標高差＋確認済みCT回帰）
皇海山,銀山平・庚申山ルート,皇海山,銀山平・皇海山登山者駐車場,380,6:20,estimated,7.32,推定CT（固定座標・標高差＋確認済みCT回帰）
茶臼岳,沼平ゲートルート,茶臼岳,沼平ゲート,380,6:20,estimated,7.40,推定CT（固定座標・標高差＋確認済みCT回帰）
富士山,富士スバルライン五合目（吉田口）ルート,富士スバルライン五合目（吉田口）,富士山（剣ヶ峰）,370,6:10,direct,3.81,富士登山オフィシャルサイト・吉田ルート 登り約6時間10分
早池峰山,岳登山口ルート,早池峰山,岳登山口・岳駐車場,370,6:10,estimated,7.20,推定CT（固定座標・標高差＋確認済みCT回帰）
朝日岳（群馬）,湯檜曽公園・白毛門登山口側ルート,朝日岳（群馬）,湯檜曽公園・白毛門登山口側,370,6:10,estimated,7.22,推定CT（固定座標・標高差＋確認済みCT回帰）
毛勝山,片貝登山口（東又第五発電所登山口）ルート,片貝登山口（東又第五発電所登山口）,毛勝山,370,6:10,estimated,4.78,推定CT（固定座標・標高差＋確認済みCT回帰）
黒法師岳,戸中山林道ゲートルート,戸中山林道ゲート,黒法師岳,370,6:10,estimated,5.95,推定CT（固定座標・標高差＋確認済みCT回帰）
大朝日岳,日暮沢・竜門ルート,日暮沢登山口駐車場（日暮沢小屋）,竜門小屋,367,6:07,direct,5.09,ヤマレコ公開山行記録・日暮沢小屋09:18→竜門山避難小屋15:25 6時間07分
傾山,九折登山口 傾山ルート,九折登山口 傾山,傾山,360,6:00,direct,3.14,好日山荘・九折登山口→林道60分→水場ルート分岐120分→傾山120分（6時間）
利尻山,沓形登山口ルート,沓形登山口,利尻山,360,6:00,direct,3.93,山と溪谷オンライン・利尻山 沓形コース（登山口→山頂 約6時間）
剱岳,馬場島・早月尾根ルート,馬場島（早月尾根登山口）,早月小屋,360,6:00,direct,3.69,早月小屋公式・アクセス
大朝日岳,日暮沢・竜門ルート,大朝日岳,日暮沢登山口駐車場（日暮沢小屋）,360,6:00,estimated,6.96,推定CT（固定座標・標高差＋確認済みCT回帰）
越後駒ヶ岳,枝折峠ルート,枝折峠,越後駒ヶ岳,360,6:00,direct,5.78,魚沼市観光協会公式・越後駒ヶ岳 枝折峠コース
野口五郎岳,高瀬ダムルート,高瀬ダム,烏帽子小屋,360,6:00,direct,2.85,北アルプス山小屋友交会・夏山コースタイム
餓鬼岳,中房登山口ルート,中房登山口,餓鬼岳,360,6:00,estimated,6.52,推定CT（固定座標・標高差＋確認済みCT回帰）
