mountain,course,from,to,minutes,source
"赤牛岳","折立登山口ルート","折立登山口","赤牛岳","530","推定CT（固定座標・標高差＋確認済みCT回帰）"
"餓鬼岳","中房登山口ルート","中房登山口","餓鬼岳","360","推定CT（固定座標・標高差＋確認済みCT回帰）"
"安平路山","摺古木自然園入口ルート","摺古木自然園入口","安平路山","240","推定CT（固定座標・標高差＋確認済みCT回帰）"
"安平路山","大平宿（林道規制時起点）ルート","大平宿（林道規制時起点）","安平路山","440","推定CT（固定座標・標高差＋確認済みCT回帰）"
"和名倉山（白石山）","三ノ瀬（民宿みはらし）ルート","三ノ瀬（民宿みはらし）","和名倉山（白石山）","330","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大岳山","白倉・大嶽神社里宮登山口ルート","白倉・大嶽神社里宮登山口","大岳山","200","推定CT（固定座標・標高差＋確認済みCT回帰）"
"箱根山","大涌谷登山口ルート","大涌谷登山口","箱根山","90","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鋸岳","北沢峠ルート","北沢峠","鋸岳","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"上河内岳","沼平ゲートルート","沼平ゲート","上河内岳","510","推定CT（固定座標・標高差＋確認済みCT回帰）"
"茶臼岳","沼平ゲートルート","沼平ゲート","茶臼岳","440","推定CT（固定座標・標高差＋確認済みCT回帰）"
"光岳","沼平ゲートルート","沼平ゲート","光岳","510","推定CT（固定座標・標高差＋確認済みCT回帰）"
"池口岳","池口林道口・池口岳登山口ルート","池口林道口・池口岳登山口","池口岳","370","推定CT（固定座標・標高差＋確認済みCT回帰）"
"奥茶臼山","しらびそ峠・奥茶臼山登山口ルート","しらびそ峠・奥茶臼山登山口","奥茶臼山","270","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大無間山","田代・大無間山登山口ルート","田代・大無間山登山口","大無間山","420","推定CT（固定座標・標高差＋確認済みCT回帰）"
"黒法師岳","戸中山林道ゲートルート","戸中山林道ゲート","黒法師岳","370","推定CT（固定座標・標高差＋確認済みCT回帰）"
"笊ヶ岳","老平・笊ヶ岳登山口ルート","老平・笊ヶ岳登山口","笊ヶ岳","470","推定CT（固定座標・標高差＋確認済みCT回帰）"
"熊伏山","青崩峠入口・熊伏山登山口ルート","青崩峠入口・熊伏山登山口","熊伏山","160","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大笠山","桂湖森林公園駐車場（大笠山ルート起点）ルート","桂湖森林公園駐車場（大笠山ルート起点）","大笠山","300","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大笠山","ブナオ峠（大笠山ルート）ルート","ブナオ峠（大笠山ルート）","大笠山","310","推定CT（固定座標・標高差＋確認済みCT回帰）"
"笈ヶ岳","中宮温泉ビジターセンター（笈ヶ岳ルート起点）ルート","中宮温泉ビジターセンター（笈ヶ岳ルート起点）","笈ヶ岳","310","推定CT（固定座標・標高差＋確認済みCT回帰）"
"猿ヶ馬場山","村営せせらぎ公園駐車場（猿ヶ馬場山残雪期ルート起点）ルート","村営せせらぎ公園駐車場（猿ヶ馬場山残雪期ルート起点）","猿ヶ馬場山","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"野伏ヶ岳","白山中居神社（野伏ヶ岳残雪期ルート起点）ルート","白山中居神社（野伏ヶ岳残雪期ルート起点）","野伏ヶ岳","250","推定CT（固定座標・標高差＋確認済みCT回帰）"
"竜門岳","竜門岳登山口 吉野ルート","竜門岳登山口 吉野","竜門岳","120","推定CT（固定座標・標高差＋確認済みCT回帰）"
"護摩壇山","護摩壇山森林公園ワイルドライフルート","護摩壇山森林公園ワイルドライフ","護摩壇山","110","推定CT（固定座標・標高差＋確認済みCT回帰）"
"東赤石山","瀬場登山口 東赤石山ルート","瀬場登山口 東赤石山","東赤石山","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"脊振山","椎原峠登山口ルート","椎原峠登山口","脊振山","170","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大船山","男池駐車場・男池登山口ルート","男池駐車場・男池登山口","大船山","240","推定CT（固定座標・標高差＋確認済みCT回帰）"
"尾鈴山","尾鈴山第1駐車場（尾鈴山登山口アクセス起点）ルート","尾鈴山第1駐車場（尾鈴山登山口アクセス起点）","尾鈴山","260","推定CT（固定座標・標高差＋確認済みCT回帰）"
"桜島（御岳）","湯之平展望所（一般立入可能な最高地点・山頂入山不可）ルート","湯之平展望所（一般立入可能な最高地点・山頂入山不可）","桜島（御岳・北岳）","180","推定CT（固定座標・標高差＋確認済みCT回帰）"
