mountain,course,from,to,minutes,source
"朝日岳（群馬）","湯檜曽公園・白毛門登山口側ルート","湯檜曽公園・白毛門登山口側","朝日岳（群馬）","400","推定CT（固定座標・標高差＋確認済みCT回帰）"
"浅間山","高峰高原・車坂峠ルート","高峰高原・車坂峠","浅間山","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"斑尾山","斑尾高原スキー場ルート","斑尾高原スキー場","斑尾山","130","推定CT（固定座標・標高差＋確認済みCT回帰）"
"焼山","焼山林道第2ゲート（焼山ルート起点）ルート","焼山林道第2ゲート（焼山ルート起点）","新潟焼山","380","推定CT（固定座標・標高差＋確認済みCT回帰）"
"焼山","金山登山口（小谷側）ルート","金山登山口（小谷側）","新潟焼山","340","推定CT（固定座標・標高差＋確認済みCT回帰）"
"青海黒姫山","清水倉登山口ルート","清水倉登山口","青海黒姫山","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"朝日岳（新潟・富山）","蓮華温泉ルート","蓮華温泉","朝日岳（新潟・富山）","340","推定CT（固定座標・標高差＋確認済みCT回帰）"
"雪倉岳","蓮華温泉ルート","蓮華温泉","雪倉岳","270","推定CT（固定座標・標高差＋確認済みCT回帰）"
"毛勝山","片貝登山口（東又第五発電所登山口）ルート","片貝登山口（東又第五発電所登山口）","毛勝山","370","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鍬崎山","あわすのスキー場・鍬崎山登山口ルート","あわすのスキー場・鍬崎山登山口","鍬崎山","360","推定CT（固定座標・標高差＋確認済みCT回帰）"
"赤牛岳","折立登山口ルート","折立登山口","赤牛岳","530","推定CT（固定座標・標高差＋確認済みCT回帰）"
"笠ヶ岳（岐阜）","笠新道登山口ルート","笠新道登山口","笠ヶ岳（岐阜）","320","推定CT（固定座標・標高差＋確認済みCT回帰）"
"餓鬼岳","中房登山口ルート","中房登山口","餓鬼岳","360","推定CT（固定座標・標高差＋確認済みCT回帰）"
"有明山","中房登山口ルート","中房登山口","有明山","190","推定CT（固定座標・標高差＋確認済みCT回帰）"
"安平路山","摺古木自然園入口ルート","摺古木自然園入口","安平路山","240","推定CT（固定座標・標高差＋確認済みCT回帰）"
"安平路山","大平宿（林道規制時起点）ルート","大平宿（林道規制時起点）","安平路山","440","推定CT（固定座標・標高差＋確認済みCT回帰）"
"和名倉山（白石山）","三ノ瀬（民宿みはらし）ルート","三ノ瀬（民宿みはらし）","和名倉山（白石山）","330","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大岳山","白倉・大嶽神社里宮登山口ルート","白倉・大嶽神社里宮登山口","大岳山","200","推定CT（固定座標・標高差＋確認済みCT回帰）"
"箱根山","大涌谷登山口ルート","大涌谷登山口","箱根山","90","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鋸岳","北沢峠ルート","北沢峠","鋸岳","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"アサヨ峰","北沢峠ルート","北沢峠","アサヨ峰","190","推定CT（固定座標・標高差＋確認済みCT回帰）"
"聖岳","椹島ルート","椹島","聖岳","390","推定CT（固定座標・標高差＋確認済みCT回帰）"
"上河内岳","沼平ゲートルート","沼平ゲート","上河内岳","510","推定CT（固定座標・標高差＋確認済みCT回帰）"
"茶臼岳","沼平ゲートルート","沼平ゲート","茶臼岳","440","推定CT（固定座標・標高差＋確認済みCT回帰）"
"光岳","沼平ゲートルート","沼平ゲート","光岳","510","推定CT（固定座標・標高差＋確認済みCT回帰）"
"池口岳","池口林道口・池口岳登山口ルート","池口林道口・池口岳登山口","池口岳","370","推定CT（固定座標・標高差＋確認済みCT回帰）"
"奥茶臼山","しらびそ峠・奥茶臼山登山口ルート","しらびそ峠・奥茶臼山登山口","奥茶臼山","270","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大無間山","田代・大無間山登山口ルート","田代・大無間山登山口","大無間山","420","推定CT（固定座標・標高差＋確認済みCT回帰）"
"黒法師岳","戸中山林道ゲートルート","戸中山林道ゲート","黒法師岳","370","推定CT（固定座標・標高差＋確認済みCT回帰）"
"笊ヶ岳","老平・笊ヶ岳登山口ルート","老平・笊ヶ岳登山口","笊ヶ岳","470","推定CT（固定座標・標高差＋確認済みCT回帰）"
"高塚山","山犬段・高塚山登山口ルート","山犬段・高塚山登山口","高塚山","160","推定CT（固定座標・標高差＋確認済みCT回帰）"
"熊伏山","青崩峠入口・熊伏山登山口ルート","青崩峠入口・熊伏山登山口","熊伏山","160","推定CT（固定座標・標高差＋確認済みCT回帰）"
"医王山","医王の里登山者用駐車場ルート","医王の里登山者用駐車場","医王山（奥医王山）","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大笠山","桂湖森林公園駐車場（大笠山ルート起点）ルート","桂湖森林公園駐車場（大笠山ルート起点）","大笠山","300","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大笠山","ブナオ峠（大笠山ルート）ルート","ブナオ峠（大笠山ルート）","大笠山","310","推定CT（固定座標・標高差＋確認済みCT回帰）"
"笈ヶ岳","中宮温泉ビジターセンター（笈ヶ岳ルート起点）ルート","中宮温泉ビジターセンター（笈ヶ岳ルート起点）","笈ヶ岳","310","推定CT（固定座標・標高差＋確認済みCT回帰）"
"猿ヶ馬場山","村営せせらぎ公園駐車場（猿ヶ馬場山残雪期ルート起点）ルート","村営せせらぎ公園駐車場（猿ヶ馬場山残雪期ルート起点）","猿ヶ馬場山","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"野伏ヶ岳","白山中居神社（野伏ヶ岳残雪期ルート起点）ルート","白山中居神社（野伏ヶ岳残雪期ルート起点）","野伏ヶ岳","250","推定CT（固定座標・標高差＋確認済みCT回帰）"
"竜門岳","竜門岳登山口 吉野ルート","竜門岳登山口 吉野","竜門岳","120","推定CT（固定座標・標高差＋確認済みCT回帰）"
"護摩壇山","護摩壇山森林公園ワイルドライフルート","護摩壇山森林公園ワイルドライフ","護摩壇山","110","推定CT（固定座標・標高差＋確認済みCT回帰）"
"蓬来山","蓬莱駅 登山口ルート","蓬莱駅 登山口","蓬来山","270","推定CT（固定座標・標高差＋確認済みCT回帰）"
"比叡山","坂本ケーブル延暦寺駅ルート","坂本ケーブル延暦寺駅","比叡山（大比叡）","60","推定CT（固定座標・標高差＋確認済みCT回帰）"
"東赤石山","瀬場登山口 東赤石山ルート","瀬場登山口 東赤石山","東赤石山","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"笹ヶ峰","下津池 笹ヶ峰登山口ルート","下津池 笹ヶ峰登山口","笹ヶ峰","180","推定CT（固定座標・標高差＋確認済みCT回帰）"
"英彦山","別所駐車場・英彦山登山口ルート","別所駐車場・英彦山登山口","英彦山","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"英彦山","豊前坊・高住神社登山口ルート","豊前坊・高住神社登山口","英彦山","100","推定CT（固定座標・標高差＋確認済みCT回帰）"
"脊振山","椎原峠登山口ルート","椎原峠登山口","脊振山","170","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大船山","男池駐車場・男池登山口ルート","男池駐車場・男池登山口","大船山","240","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大船山","吉部（坊ガツル）登山口駐車場ルート","吉部（坊ガツル）登山口駐車場","大船山","260","推定CT（固定座標・標高差＋確認済みCT回帰）"
"湧蓋山","八丁原登山口ルート","八丁原登山口","涌蓋山","180","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大崩山","祝子川 大崩山登山口ルート","祝子川 大崩山登山口","大崩山","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"国見岳","国見岳新登山口（五勇谷橋ルート）ルート","国見岳新登山口（五勇谷橋ルート）","国見岳","190","推定CT（固定座標・標高差＋確認済みCT回帰）"
"尾鈴山","尾鈴山第1駐車場（尾鈴山登山口アクセス起点）ルート","尾鈴山第1駐車場（尾鈴山登山口アクセス起点）","尾鈴山","260","推定CT（固定座標・標高差＋確認済みCT回帰）"
"桜島（御岳）","湯之平展望所（一般立入可能な最高地点・山頂入山不可）ルート","湯之平展望所（一般立入可能な最高地点・山頂入山不可）","桜島（御岳・北岳）","180","推定CT（固定座標・標高差＋確認済みCT回帰）"
"高隈山","大箆柄岳 垂桜コース駐車場・登山口ルート","大箆柄岳 垂桜コース駐車場・登山口","高隈山（大箆柄岳）","160","推定CT（固定座標・標高差＋確認済みCT回帰）"
